customer_id,event_timestamp,age,balance,duration,campaign,previous,job,marital,education,default,housing,loan,contact,month,poutcome,y
1,2025-11-10 19:09:12.766960+00:00,58,2143,261,1,0,management,married,tertiary,no,yes,no,cellular,may,failure,no
2,2025-11-10 19:09:12.766960+00:00,44,29,151,1,0,technician,single,secondary,no,yes,no,cellular,may,failure,no
3,2025-11-10 19:09:12.766960+00:00,33,2,76,1,0,entrepreneur,married,secondary,no,yes,yes,cellular,may,failure,no
4,2025-11-10 19:09:12.766960+00:00,47,1506,92,1,0,blue-collar,married,secondary,no,yes,no,cellular,may,failure,no
5,2025-11-10 19:09:12.766960+00:00,33,1,198,1,0,blue-collar,single,secondary,no,no,no,cellular,may,failure,no
6,2025-11-10 19:09:12.766960+00:00,35,231,139,1,0,management,married,tertiary,no,yes,no,cellular,may,failure,no
7,2025-11-10 19:09:12.766960+00:00,28,447,217,1,0,management,single,tertiary,no,yes,yes,cellular,may,failure,no
8,2025-11-10 19:09:12.766960+00:00,42,2,380,1,0,entrepreneur,divorced,tertiary,yes,yes,no,cellular,may,failure,no
9,2025-11-10 19:09:12.766960+00:00,58,121,50,1,0,retired,married,primary,no,yes,no,cellular,may,failure,no
10,2025-11-10 19:09:12.766960+00:00,43,593,55,1,0,technician,single,secondary,no,yes,no,cellular,may,failure,no
11,2025-11-10 19:09:12.766960+00:00,41,270,222,1,0,admin.,divorced,secondary,no,yes,no,cellular,may,failure,no
12,2025-11-10 19:09:12.766960+00:00,29,390,137,1,0,admin.,single,secondary,no,yes,no,cellular,may,failure,no
13,2025-11-10 19:09:12.766960+00:00,53,6,517,1,0,technician,married,secondary,no,yes,no,cellular,may,failure,no
14,2025-11-10 19:09:12.766960+00:00,58,71,71,1,0,technician,married,secondary,no,yes,no,cellular,may,failure,no
15,2025-11-10 19:09:12.766960+00:00,57,162,174,1,0,services,married,secondary,no,yes,no,cellular,may,failure,no
16,2025-11-10 19:09:12.766960+00:00,51,229,353,1,0,retired,married,primary,no,yes,no,cellular,may,failure,no
17,2025-11-10 19:09:12.766960+00:00,45,13,98,1,0,admin.,single,secondary,no,yes,no,cellular,may,failure,no
18,2025-11-10 19:09:12.766960+00:00,57,52,38,1,0,blue-collar,married,primary,no,yes,no,cellular,may,failure,no
19,2025-11-10 19:09:12.766960+00:00,60,60,219,1,0,retired,married,primary,no,yes,no,cellular,may,failure,no
20,2025-11-10 19:09:12.766960+00:00,33,0,54,1,0,services,married,secondary,no,yes,no,cellular,may,failure,no
21,2025-11-10 19:09:12.766960+00:00,28,723,262,1,0,blue-collar,married,secondary,no,yes,yes,cellular,may,failure,no
22,2025-11-10 19:09:12.766960+00:00,56,779,164,1,0,management,married,tertiary,no,yes,no,cellular,may,failure,no
23,2025-11-10 19:09:12.766960+00:00,32,23,160,1,0,blue-collar,single,primary,no,yes,yes,cellular,may,failure,no
